transaction_id	merchant_id	customer_id	year_month	transaction_date	original_currency	payment_method	status	amount_EUR	fee_EUR	net_amount_EUR
TXN000090	M0170	C00931	2025-04	2025-04-30 13:07:00	GBP	CONTACTLESS	COMPLETED	1191.13	20.84	1170.29
TXN000091	M0019	C00583	2024-08	2024-08-05 05:50:00	GBP	GOOGLE PAY	COMPLETED	672.95	11.78	661.17
TXN000093	M0113	C00619	2025-01	2025-01-02 19:02:00	GBP	CARD	COMPLETED	1915.61	33.53	1882.08
TXN000094	M0024	C00022	2025-01	2025-01-16 21:53:00	BGN	APPLE PAY	COMPLETED	1100.13	19.25	1080.88
TXN000095	M0148	C00285	2024-01	2024-01-05 05:30:00	EUR	QR CODE	COMPLETED	1298.61	22.73	1275.88
TXN000096	M0112	C00329	2024-10	2024-10-24 15:05:00	BGN	CARD	COMPLETED	601.47	10.53	590.94
TXN000097	M0042	C00411	2025-01	2025-01-17 13:44:00	BGN	CARD	COMPLETED	633.98	11.1	622.88
TXN000099	M0169	C00775	2026-01	2026-01-24 13:03:00	GBP	GOOGLE PAY	COMPLETED	409.05	7.16	401.9
TXN000101	M0032	C00319	2023-03	2023-03-22 20:38:00	BGN	CARD	COMPLETED	1021.98	17.89	1004.1
TXN000104	M0142	C00901	2024-08	2024-08-20 12:12:00	EUR	CARD	COMPLETED	2304.87	40.34	2264.53
TXN000105	M0071	C00003	2025-08	2025-08-25 10:59:00	GBP	APPLE PAY	COMPLETED	1706.65	29.86	1676.79
TXN000106	M0151	C00496	2025-08	2025-08-27 21:31:00	GBP	APPLE PAY	COMPLETED	1874.45	32.8	1841.65
TXN000108	M0099	C00936	2024-08	2024-08-06 13:02:00	GBP	GOOGLE PAY	COMPLETED	695.99	12.18	683.81
TXN000110	M0026	C00671	2026-02	2026-02-25 14:00:00	EUR	CARD	COMPLETED	1806.8	31.62	1775.18
TXN000111	M0121	C00873	2024-09	2024-09-29 10:39:00	GBP	QR CODE	COMPLETED	1508.17	26.39	1481.77
TXN000112	M0098	C00555	2025-04	2025-04-03 20:45:00	EUR	QR CODE	COMPLETED	2218.88	38.83	2180.05
TXN000115	M0076	C00580	2025-05	2025-05-12 11:27:00	BGN	CONTACTLESS	COMPLETED	187.17	3.28	183.89
TXN000116	M0044	C00247	2023-12	2023-12-04 02:39:00	GBP	QR CODE	COMPLETED	1858.86	32.53	1826.34
TXN000117	M0037	C00010	2025-03	2025-03-18 14:40:00	GBP	APPLE PAY	COMPLETED	544.73	9.53	535.2
TXN000118	M0174	C00602	2025-12	2025-12-04 05:04:00	GBP	GOOGLE PAY	COMPLETED	966.07	16.91	949.16
TXN000121	M0071	C00051	2023-05	2023-05-15 18:55:00	BGN	GOOGLE PAY	COMPLETED	877.02	15.35	861.67
TXN000121	M0071	C00051	2023-05	2023-05-15 18:55:00	BGN	GOOGLE PAY	COMPLETED	877.02	15.35	861.67
TXN000122	M0074	C00195	2026-01	2026-01-27 07:38:00	BGN	APPLE PAY	COMPLETED	1025.33	17.94	1007.38
TXN000123	M0174	C00317	2024-10	2024-10-11 20:06:00	GBP	CARD	COMPLETED	1945.91	34.06	1911.86
TXN000124	M0149	C00766	2024-10	2024-10-30 23:08:00	GBP	CONTACTLESS	COMPLETED	196.09	3.43	192.66
TXN000125	M0052	C00936	2023-12	2023-12-12 17:56:00	GBP	CONTACTLESS	COMPLETED	2073.47	36.28	2037.18
TXN000126	M0066	C00480	2025-07	2025-07-03 09:47:00	EUR	CONTACTLESS	COMPLETED	2176.32	38.09	2138.23
TXN000127	M0194	C00867	2024-09	2024-09-20 21:46:00	BGN	APPLE PAY	COMPLETED	862.48	15.09	847.38
TXN000128	M0024	C00689	2025-07	2025-07-05 00:16:00	BGN	APPLE PAY	COMPLETED	686.47	12.02	674.45
TXN000129	M0150	C00026	2024-10	2024-10-10 20:23:00	BGN	QR CODE	COMPLETED	139.63	2.44	137.19
TXN000131	M0167	C00505	2025-02	2025-02-03 03:08:00	EUR	CARD	COMPLETED	115.75	2.03	113.72
TXN000132	M0061	C00761	2026-01	2026-01-13 04:24:00	BGN	QR CODE	COMPLETED	580.57	10.16	570.41
TXN000133	M0108	C00102	2025-02	2025-02-07 23:46:00	GBP	QR CODE	COMPLETED	332.22	5.82	326.4
TXN000134	M0105	C00974	2024-08	2024-08-26 01:44:00	EUR	APPLE PAY	COMPLETED	927.9	16.24	911.66
TXN000135	M0026	C00408	2025-09	2025-09-16 17:57:00	GBP	CONTACTLESS	COMPLETED	2144.7	37.53	2107.17
TXN000136	M0032	C00995	2025-08	2025-08-10 02:42:00	EUR	CARD	COMPLETED	532.23	9.31	522.92
TXN000137	M0086	C00784	2024-08	2024-08-30 04:50:00	BGN	CONTACTLESS	COMPLETED	722.23	12.64	709.59
TXN000138	M0151	C00611	2025-02	2025-02-22 07:21:00	EUR	APPLE PAY	COMPLETED	1936.49	33.89	1902.6
TXN000139	M0038	C00888	2024-01	2024-01-23 17:16:00	EUR	CONTACTLESS	COMPLETED	1996.79	34.94	1961.85
TXN000140	M0004	C00054	2025-04	2025-04-28 07:37:00	EUR	GOOGLE PAY	COMPLETED	811.12	14.19	796.93
TXN000141	M0135	C00526	2024-03	2024-03-04 23:04:00	BGN	CARD	COMPLETED	609.43	10.67	598.76
TXN000142	M0116	C00888	2025-09	2025-09-17 07:39:00	BGN	QR CODE	COMPLETED	56.65	0.99	55.66
TXN000143	M0078	C00412	2025-06	2025-06-18 20:01:00	GBP	CARD	COMPLETED	134.83	2.36	132.47
TXN000144	M0126	C00068	2025-11	2025-11-23 02:57:00	EUR	APPLE PAY	COMPLETED	204.27	3.57	200.7
TXN000145	M0160	C00612	2024-10	2024-10-12 18:35:00	BGN	APPLE PAY	COMPLETED	910.68	15.94	894.74
TXN000146	M0117	C00874	2024-12	2024-12-04 19:27:00	BGN	QR CODE	COMPLETED	127.93	2.24	125.69
TXN000147	M0185	C00848	2024-07	2024-07-29 13:28:00	GBP	GOOGLE PAY	COMPLETED	1894.54	33.16	1861.38
TXN000148	M0107	C00977	2024-07	2024-07-27 10:27:00	EUR	GOOGLE PAY	COMPLETED	783.03	13.7	769.33
TXN000149	M0018	C00382	2024-11	2024-11-21 02:05:00	EUR	QR CODE	COMPLETED	1081.11	18.92	1062.19
TXN000150	M0016	C00363	2025-03	2025-03-28 17:35:00	BGN	GOOGLE PAY	COMPLETED	422.23	7.39	414.84
TXN000151	M0185	C00520	2023-08	2023-08-29 09:38:00	EUR	CONTACTLESS	COMPLETED	782.84	13.7	769.14
TXN000153	M0147	C00637	2025-05	2025-05-31 13:54:00	BGN	QR CODE	COMPLETED	717.61	12.56	705.06
TXN000154	M0007	C00944	2025-06	2025-06-10 00:11:00	GBP	APPLE PAY	COMPLETED	598.13	10.47	587.66
TXN000155	M0002	C00759	2025-02	2025-02-23 04:36:00	BGN	CARD	COMPLETED	840.69	14.71	825.98
TXN000156	M0024	C00379	2025-11	2025-11-21 06:24:00	GBP	APPLE PAY	COMPLETED	911.03	15.94	895.09
TXN000157	M0199	C00773	2025-11	2025-11-12 19:05:00	BGN	CARD	COMPLETED	1129.28	19.76	1109.52
TXN000158	M0173	C00453	2023-09	2023-09-15 08:28:00	GBP	APPLE PAY	COMPLETED	1413.46	24.73	1388.73
TXN000159	M0056	C00695	2025-11	2025-11-17 16:07:00	BGN	QR CODE	COMPLETED	442.05	7.74	434.32
TXN000160	M0125	C00614	2025-12	2025-12-23 21:19:00	EUR	CARD	COMPLETED	115.93	2.03	113.9
TXN000161	M0053	C00336	2024-11	2024-11-18 06:49:00	EUR	CARD	COMPLETED	345.24	6.04	339.2
TXN000162	M0128	C00513	2025-07	2025-07-16 05:08:00	BGN	APPLE PAY	COMPLETED	486.79	8.52	478.28
TXN000163	M0019	C00080	2025-07	2025-07-16 23:02:00	GBP	QR CODE	COMPLETED	951.32	16.65	934.67
TXN000164	M0110	C00022	2025-07	2025-07-21 22:40:00	GBP	CONTACTLESS	COMPLETED	911.01	15.94	895.06
TXN000165	M0159	C00109	2024-06	2024-06-26 22:58:00	EUR	GOOGLE PAY	COMPLETED	906.23	15.86	890.37
TXN000166	M0151	C00348	2025-05	2025-05-28 16:05:00	EUR	APPLE PAY	COMPLETED	990.93	17.34	973.59
TXN000167	M0200	C00199	2024-01	2024-01-31 02:32:00	GBP	APPLE PAY	COMPLETED	1359.05	23.78	1335.27
TXN000168	M0187	C00617	2024-09	2024-09-22 07:06:00	EUR	CARD	COMPLETED	368.24	6.44	361.8
TXN000169	M0046	C00594	2025-04	2025-04-29 20:31:00	GBP	QR CODE	COMPLETED	1015.14	17.76	997.37
TXN000170	M0165	C00453	2025-02	2025-02-02 20:20:00	BGN	APPLE PAY	COMPLETED	194.05	3.4	190.65
TXN000171	M0071	C00039	2023-08	2023-08-22 11:32:00	EUR	APPLE PAY	COMPLETED	187.79	3.29	184.5
TXN000172	M0074	C00609	2025-02	2025-02-03 20:55:00	BGN	GOOGLE PAY	COMPLETED	1249.35	21.86	1227.49
TXN000173	M0119	C00330	2023-06	2023-06-21 14:58:00	BGN	GOOGLE PAY	COMPLETED	1035.39	18.12	1017.27
TXN000175	M0130	C00450	2026-02	2026-02-25 05:02:00	BGN	QR CODE	COMPLETED	317.64	5.56	312.08
TXN000176	M0157	C00794	2024-11	2024-11-14 11:23:00	GBP	QR CODE	COMPLETED	1966.63	34.41	1932.22
TXN000177	M0014	C00291	2025-05	2025-05-22 02:21:00	GBP	QR CODE	COMPLETED	207.07	3.62	203.45
TXN000179	M0034	C00811	2025-06	2025-06-13 22:05:00	GBP	CONTACTLESS	COMPLETED	677.32	11.85	665.47
TXN000180	M0172	C00687	2025-05	2025-05-18 23:43:00	GBP	QR CODE	COMPLETED	1980.43	34.65	1945.78
TXN000181	M0093	C00971	2023-06	2023-06-28 11:19:00	GBP	CONTACTLESS	COMPLETED	396.26	6.93	389.32
TXN000182	M0058	C00520	2024-01	2024-01-11 04:04:00	BGN	QR CODE	COMPLETED	379.0	6.63	372.36
TXN000183	M0010	C00386	2025-08	2025-08-31 10:56:00	EUR	CONTACTLESS	COMPLETED	1916.35	33.54	1882.81
TXN000184	M0047	C00045	2026-01	2026-01-27 19:51:00	GBP	APPLE PAY	COMPLETED	1960.1	34.31	1925.79
TXN000185	M0174	C00460	2025-01	2025-01-22 14:39:00	EUR	QR CODE	COMPLETED	714.11	12.5	701.61
TXN000186	M0062	C00970	2024-03	2024-03-22 15:57:00	BGN	GOOGLE PAY	COMPLETED	1067.7	18.68	1049.01
TXN000188	M0036	C00957	2024-09	2024-09-10 01:41:00	EUR	QR CODE	COMPLETED	1202.78	21.05	1181.73
TXN000189	M0032	C00526	2024-08	2024-08-27 02:48:00	EUR	GOOGLE PAY	COMPLETED	402.88	7.05	395.83
TXN000190	M0024	C00055	2025-01	2025-01-09 14:56:00	GBP	QR CODE	COMPLETED	754.23	13.2	741.04
TXN000191	M0096	C00954	2025-04	2025-04-10 12:05:00	EUR	APPLE PAY	COMPLETED	938.84	16.43	922.41
TXN000192	M0038	C00852	2024-01	2024-01-30 01:18:00	EUR	GOOGLE PAY	COMPLETED	2293.7	40.14	2253.56
TXN000193	M0115	C00856	2025-08	2025-08-18 00:57:00	EUR	QR CODE	COMPLETED	200.37	3.51	196.86
TXN000194	M0187	C00049	2025-07	2025-07-01 03:49:00	EUR	GOOGLE PAY	COMPLETED	722.03	12.64	709.39
TXN000196	M0162	C00002	2025-09	2025-09-20 18:15:00	BGN	APPLE PAY	COMPLETED	918.84	16.08	902.76
TXN000197	M0062	C00999	2024-12	2024-12-15 13:11:00	GBP	CARD	COMPLETED	1457.21	25.5	1431.71
TXN000198	M0135	C00400	2025-05	2025-05-19 16:50:00	GBP	CARD	COMPLETED	2144.95	37.54	2107.42
TXN000199	M0163	C00070	2024-09	2024-09-27 11:16:00	GBP	CONTACTLESS	COMPLETED	1626.89	28.47	1598.42
TXN000200	M0188	C00341	2025-06	2025-06-25 20:06:00	EUR	CARD	COMPLETED	1929.32	33.76	1895.56
TXN000201	M0091	C00713	2025-09	2025-09-14 20:11:00	GBP	CONTACTLESS	COMPLETED	1821.61	31.88	1789.73
TXN000202	M0035	C00207	2023-11	2023-11-09 22:49:00	EUR	CONTACTLESS	COMPLETED	2359.15	41.29	2317.86
TXN000203	M0011	C00485	2025-08	2025-08-31 09:32:00	GBP	CARD	COMPLETED	863.85	15.12	848.73
TXN000204	M0193	C00672	2024-03	2024-03-05 09:22:00	GBP	APPLE PAY	COMPLETED	1868.12	32.69	1835.43
TXN000205	M0032	C00980	2025-02	2025-02-13 13:56:00	GBP	APPLE PAY	COMPLETED	856.63	14.99	841.63
TXN000206	M0048	C00274	2025-06	2025-06-07 22:31:00	EUR	GOOGLE PAY	COMPLETED	919.95	16.1	903.85
TXN000207	M0021	C00106	2025-04	2025-04-10 19:52:00	EUR	APPLE PAY	COMPLETED	453.19	7.93	445.26
TXN000208	M0170	C00707	2025-08	2025-08-08 09:28:00	GBP	APPLE PAY	COMPLETED	1306.14	22.86	1283.29
TXN000209	M0115	C00446	2024-01	2024-01-09 23:55:00	GBP	CARD	COMPLETED	1955.59	34.23	1921.36
TXN000210	M0020	C00976	2025-11	2025-11-23 11:32:00	EUR	CONTACTLESS	COMPLETED	2003.24	35.06	1968.18
TXN000211	M0156	C00661	2026-03	2026-03-12 14:02:00	GBP	APPLE PAY	COMPLETED	275.63	4.82	270.8
TXN000212	M0099	C00380	2025-07	2025-07-13 01:38:00	GBP	GOOGLE PAY	COMPLETED	336.03	5.88	330.15
TXN000213	M0196	C00666	2024-10	2024-10-31 18:08:00	GBP	CONTACTLESS	COMPLETED	1141.34	19.97	1121.37
TXN000214	M0030	C00576	2023-08	2023-08-31 23:11:00	EUR	APPLE PAY	COMPLETED	1248.86	21.86	1227.0
TXN000215	M0199	C00711	2025-01	2025-01-01 22:28:00	GBP	CONTACTLESS	COMPLETED	463.77	8.11	455.65
TXN000216	M0032	C00090	2023-10	2023-10-26 02:28:00	BGN	APPLE PAY	COMPLETED	221.76	3.88	217.88
TXN000217	M0171	C00308	2024-02	2024-02-07 22:04:00	EUR	CONTACTLESS	COMPLETED	1376.12	24.08	1352.04
TXN000218	M0093	C00506	2024-08	2024-08-23 03:12:00	EUR	APPLE PAY	COMPLETED	1980.68	34.66	1946.02
TXN000219	M0142	C00627	2025-11	2025-11-01 11:29:00	EUR	CARD	COMPLETED	2009.65	35.17	1974.48
TXN000220	M0080	C00420	2025-06	2025-06-02 22:46:00	BGN	CARD	COMPLETED	612.52	10.72	601.81
TXN000221	M0033	C00353	2024-07	2024-07-12 20:04:00	EUR	QR CODE	COMPLETED	1126.31	19.71	1106.6
TXN000222	M0164	C00933	2025-09	2025-09-23 05:49:00	EUR	CARD	COMPLETED	2415.75	42.28	2373.47
TXN000224	M0073	C00129	2024-06	2024-06-10 08:12:00	BGN	APPLE PAY	COMPLETED	812.23	14.21	798.02
TXN000225	M0158	C00595	2025-10	2025-10-10 02:32:00	EUR	CONTACTLESS	COMPLETED	1603.37	28.06	1575.31
TXN000226	M0169	C00047	2025-09	2025-09-18 18:02:00	BGN	QR CODE	COMPLETED	1055.08	18.46	1036.62
TXN000227	M0068	C00032	2025-10	2025-10-21 06:49:00	GBP	QR CODE	COMPLETED	1234.59	21.61	1212.99
TXN000228	M0075	C00416	2025-10	2025-10-26 09:30:00	GBP	GOOGLE PAY	COMPLETED	529.64	9.27	520.37
TXN000229	M0019	C00349	2024-08	2024-08-05 05:28:00	BGN	CONTACTLESS	COMPLETED	532.02	9.31	522.71
TXN000231	M0195	C00126	2025-03	2025-03-01 16:35:00	GBP	GOOGLE PAY	COMPLETED	228.98	4.0	224.98
TXN000232	M0064	C00631	2024-12	2024-12-18 03:03:00	GBP	CONTACTLESS	COMPLETED	637.77	11.16	626.61
TXN000233	M0041	C00511	2025-02	2025-02-04 18:46:00	BGN	GOOGLE PAY	COMPLETED	400.61	7.01	393.6
TXN000234	M0128	C00469	2024-11	2024-11-08 15:01:00	EUR	CONTACTLESS	COMPLETED	227.4	3.98	223.42
TXN000235	M0150	C00864	2024-09	2024-09-11 01:03:00	BGN	GOOGLE PAY	COMPLETED	360.56	6.31	354.25
TXN000236	M0074	C00271	2025-09	2025-09-26 00:54:00	BGN	APPLE PAY	COMPLETED	138.55	2.42	136.12
TXN000237	M0196	C00200	2025-04	2025-04-16 11:02:00	GBP	QR CODE	COMPLETED	876.78	15.34	861.44
TXN000238	M0074	C00846	2025-02	2025-02-01 12:32:00	BGN	QR CODE	COMPLETED	576.37	10.09	566.28
TXN000240	M0051	C00731	2026-01	2026-01-21 12:32:00	GBP	GOOGLE PAY	COMPLETED	89.49	1.56	87.93
TXN000241	M0133	C00954	2025-11	2025-11-22 04:38:00	BGN	APPLE PAY	COMPLETED	1141.78	19.98	1121.8
TXN000242	M0042	C00520	2025-03	2025-03-23 19:47:00	BGN	QR CODE	COMPLETED	1077.26	18.85	1058.41
TXN000243	M0126	C00113	2025-06	2025-06-28 15:52:00	GBP	QR CODE	COMPLETED	38.46	0.67	37.79
TXN000244	M0079	C00991	2026-03	2026-03-03 22:40:00	BGN	QR CODE	COMPLETED	35.31	0.62	34.69
TXN000245	M0148	C00645	2024-07	2024-07-15 23:03:00	BGN	QR CODE	COMPLETED	746.42	13.06	733.36
TXN000246	M0199	C00971	2025-05	2025-05-04 04:52:00	BGN	CARD	COMPLETED	870.55	15.24	855.31
TXN000247	M0049	C00209	2023-10	2023-10-14 14:20:00	GBP	QR CODE	COMPLETED	900.05	15.75	884.3
TXN000248	M0199	C00723	2025-12	2025-12-27 15:55:00	EUR	QR CODE	COMPLETED	2121.32	37.12	2084.2
