event_id,merchant_id,event_type,event_date,feature_name,session_duration_sec,platform
EVT000046,M0007,feature_used,2025-06-03 00:00:00,,,Web
EVT000047,M0148,app_login,2023-12-01 00:00:00,,1225,Android
EVT000048,M0044,feature_used,2025-08-13 00:00:00,Online Store,,Android
EVT000049,M0038,dashboard_viewed,2024-04-01 00:00:00,,94,Web
EVT000050,M0180,first_transaction,2024-08-16 00:00:00,,,Android
EVT000051,M0081,app_login,2024-08-31 00:00:00,,1444,iOS
EVT000052,M0106,feature_used,2025-12-25 00:00:00,,,Web
EVT000053,M0016,support_ticket,2024-12-13 00:00:00,,,iOS
EVT000054,M0144,app_login,2025-10-07 00:00:00,,1009,Web
EVT000055,M0097,app_login,2024-12-21 00:00:00,,971,Web
EVT000056,M0088,feature_used,2025-11-01 00:00:00,,,Web
EVT000057,M0165,dashboard_viewed,2024-09-15 00:00:00,,1279,Android
EVT000058,M0050,payout_requested,2024-12-24 00:00:00,,,Web
EVT000059,M0077,app_login,2024-09-26 00:00:00,,1609,Android
EVT000060,M0181,app_login,2025-07-08 00:00:00,,1031,Android
EVT000061,M0123,app_login,2025-07-15 00:00:00,,1507,Android
EVT000062,M0074,first_transaction,2025-10-15 00:00:00,,,Web
EVT000063,M0098,dashboard_viewed,2025-06-18 00:00:00,,1706,Android
EVT000064,M0198,dashboard_viewed,2025-07-18 00:00:00,,116,Android
EVT000065,M0183,terminal_activated,2025-02-04 00:00:00,,,Web
EVT000066,M0066,support_ticket,2024-08-10 00:00:00,,,iOS
EVT000067,M0138,app_login,2025-05-12 00:00:00,,1455,Android
EVT000068,M0036,first_transaction,2025-09-23 00:00:00,,,iOS
EVT000069,M0063,terminal_activated,2025-08-05 00:00:00,,,iOS
EVT000070,M0164,app_login,2024-05-19 00:00:00,,876,Android
EVT000071,M0184,feature_used,2025-03-23 00:00:00,Analytics,,iOS
EVT000072,M0141,payout_requested,2024-02-27 00:00:00,,,Android
EVT000073,M0168,payout_requested,2025-02-17 00:00:00,,,Android
EVT000074,M0167,first_transaction,2024-10-21 00:00:00,,,Android
EVT000075,M0074,feature_used,2025-12-01 00:00:00,Invoicing,,Web
EVT000076,M0147,app_login,2024-10-26 00:00:00,,388,Android
EVT000077,M0046,payout_requested,2023-03-25 00:00:00,,,Android
EVT000078,M0127,first_transaction,2025-06-26 00:00:00,,,Android
EVT000079,M0010,terminal_activated,2025-06-09 00:00:00,,,Web
EVT000080,M0028,payout_requested,2025-02-05 00:00:00,,,Android
EVT000081,M0117,payout_requested,2025-01-11 00:00:00,,,Web
EVT000082,M0127,dashboard_viewed,2023-10-06 00:00:00,,1772,Web
EVT000083,M0120,app_login,2025-12-13 00:00:00,,260,Android
EVT000084,M0042,support_ticket,2025-12-31 00:00:00,,,Android
EVT000085,M0184,first_transaction,2025-05-19 00:00:00,,,Android
EVT000086,M0076,feature_used,2025-11-18 00:00:00,Analytics,,iOS
EVT000087,M0157,dashboard_viewed,2025-07-25 00:00:00,,1723,Android
EVT000088,M0132,app_login,2025-07-28 00:00:00,,1400,iOS
EVT000089,M0048,payout_requested,2025-05-31 00:00:00,,,Android
EVT000090,M0064,terminal_activated,2025-09-12 00:00:00,,,iOS
EVT000091,M0115,plan_upgraded,2024-11-04 00:00:00,,,Android
EVT000092,M0150,support_ticket,2023-10-05 00:00:00,,,Android
EVT000093,M0168,app_login,2024-06-16 00:00:00,,157,Web
EVT000094,M0031,feature_used,2024-08-15 00:00:00,Inventory,,Web
EVT000095,M0129,payout_requested,2025-03-14 00:00:00,,,Web
EVT000096,M0031,feature_used,2025-01-01 00:00:00,Team Management,,Web
EVT000097,M0057,app_login,2025-01-19 00:00:00,,1009,iOS
EVT000098,M0117,support_ticket,2025-03-16 00:00:00,,,Android
EVT000099,M0107,support_ticket,2025-09-19 00:00:00,,,Web
EVT000100,M0171,dashboard_viewed,2025-05-06 00:00:00,,536,Web
EVT000101,M0194,feature_used,2024-04-29 00:00:00,Online Store,,Android
EVT000102,M0136,support_ticket,2024-12-17 00:00:00,,,Web
EVT000103,M0029,terminal_activated,2025-07-25 00:00:00,,,Web
EVT000104,M0052,feature_used,2024-01-19 00:00:00,Analytics,,Android
EVT000105,M0134,app_login,2025-01-11 00:00:00,,1498,Web
EVT000106,M0126,terminal_activated,2026-01-07 00:00:00,,,Android
EVT000107,M0015,feature_used,2025-08-09 00:00:00,Inventory,,Android
EVT000108,M0145,terminal_activated,2025-06-23 00:00:00,,,Web
EVT000109,M0079,support_ticket,2025-04-25 00:00:00,,,Android
EVT000110,M0001,support_ticket,2023-06-09 00:00:00,,,iOS
EVT000111,M0109,app_login,2024-09-05 00:00:00,,1138,iOS
EVT000112,M0018,payout_requested,2025-12-18 00:00:00,,,iOS
EVT000113,M0074,app_login,2025-12-01 00:00:00,,307,Web
EVT000114,M0187,feature_used,2025-06-04 00:00:00,Team Management,,Android
EVT000115,M0115,dashboard_viewed,2024-12-23 00:00:00,,799,iOS
EVT000116,M0175,payout_requested,2025-04-18 00:00:00,,,iOS
EVT000117,M0168,dashboard_viewed,2024-02-17 00:00:00,,395,Web
EVT000118,M0101,feature_used,2025-03-18 00:00:00,Analytics,,iOS
EVT000119,M0194,terminal_activated,2024-12-07 00:00:00,,,Android
EVT000120,M0173,support_ticket,2024-07-14 00:00:00,,,Web
EVT000121,M0098,dashboard_viewed,2025-01-18 00:00:00,,973,Android
EVT000122,M0040,app_login,2024-06-26 00:00:00,,95,Web
EVT000123,M0108,feature_used,2025-12-26 00:00:00,Invoicing,,iOS
EVT000124,M0053,terminal_activated,2024-12-22 00:00:00,,,iOS
EVT000125,M0115,feature_used,2025-11-22 00:00:00,Invoicing,,iOS
EVT000126,M0190,terminal_activated,2025-12-20 00:00:00,,,iOS
EVT000127,M0139,app_login,2025-08-10 00:00:00,,1619,iOS
EVT000128,M0036,feature_used,2024-11-23 00:00:00,Analytics,,Web
EVT000129,M0148,app_login,2025-06-13 00:00:00,,1612,Web
EVT000130,M0083,app_login,2025-11-09 00:00:00,,323,Web
EVT000131,M0134,app_login,2025-04-18 00:00:00,,593,iOS
EVT000132,M0143,payout_requested,2025-10-17 00:00:00,,,iOS
EVT000133,M0161,support_ticket,2024-12-25 00:00:00,,,Android
EVT000134,M0013,payout_requested,2025-03-03 00:00:00,,,Web
EVT000135,M0098,plan_upgraded,2025-04-01 00:00:00,,,Web
EVT000136,M0107,app_login,2025-03-28 00:00:00,,800,iOS
EVT000137,M0194,feature_used,2024-10-09 00:00:00,Analytics,,Android
EVT000138,M0182,first_transaction,2025-07-31 00:00:00,,,iOS
EVT000139,M0144,app_login,2025-01-28 00:00:00,,1171,Web
EVT000140,M0035,app_login,2024-05-09 00:00:00,,446,Android
EVT000141,M0166,terminal_activated,2024-08-28 00:00:00,,,Android
EVT000142,M0024,feature_used,2024-11-16 00:00:00,Invoicing,,Android
EVT000143,M0097,support_ticket,2024-08-06 00:00:00,,,iOS
EVT000144,M0049,dashboard_viewed,2025-04-01 00:00:00,,1513,Web
EVT000145,M0144,app_login,2024-06-29 00:00:00,,711,Android
EVT000146,M0004,app_login,2024-12-16 00:00:00,,1548,iOS
EVT000147,M0192,payout_requested,2025-07-07 00:00:00,,,iOS
EVT000148,M0179,feature_used,2025-02-24 00:00:00,Inventory,,iOS
EVT000149,M0142,app_login,2025-01-05 00:00:00,,809,Android
EVT000150,M0137,feature_used,2024-05-21 00:00:00,Team Management,,Android
EVT000151,M0132,dashboard_viewed,2025-12-09 00:00:00,,231,Web
EVT000152,M0121,plan_upgraded,2024-12-29 00:00:00,,,iOS
EVT000153,M0095,app_login,2023-04-29 00:00:00,,1182,iOS
EVT000154,M0190,first_transaction,2025-06-21 00:00:00,,,Web
EVT000155,M0150,feature_used,2024-11-24 00:00:00,Team Management,,iOS
EVT000156,M0051,app_login,2024-07-19 00:00:00,,1196,iOS
EVT000157,M0128,feature_used,2025-01-20 00:00:00,Team Management,,Android
EVT000158,M0186,feature_used,2025-04-26 00:00:00,Inventory,,iOS
EVT000159,M0188,plan_upgraded,2024-10-29 00:00:00,,,iOS
EVT000160,M0185,feature_used,2023-12-16 00:00:00,Online Store,,Web
EVT000161,M0016,feature_used,2023-09-15 00:00:00,,,iOS
EVT000162,M0196,terminal_activated,2024-10-08 00:00:00,,,Web
EVT000163,M0060,terminal_activated,2024-11-13 00:00:00,,,iOS
EVT000164,M0056,feature_used,2025-01-03 00:00:00,Invoicing,,Web
EVT000165,M0164,support_ticket,2025-10-30 00:00:00,,,Android
EVT000166,M0169,feature_used,2024-09-18 00:00:00,Online Store,,Web
EVT000167,M0106,terminal_activated,2024-11-17 00:00:00,,,Web
EVT000168,M0074,terminal_activated,2025-12-24 00:00:00,,,Web
EVT000169,M0173,app_login,2023-11-06 00:00:00,,249,iOS
EVT000170,M0135,first_transaction,2024-05-12 00:00:00,,,Web
EVT000171,M0135,app_login,2024-10-25 00:00:00,,577,Android
EVT000172,M0021,app_login,2025-04-19 00:00:00,,970,Web
EVT000173,M0063,payout_requested,2024-09-27 00:00:00,,,Android
EVT000174,M0176,dashboard_viewed,2023-07-30 00:00:00,,1368,Web
EVT000175,M0195,terminal_activated,2025-02-08 00:00:00,,,Android
EVT000176,M0097,feature_used,2024-08-23 00:00:00,,,iOS
EVT000177,M0180,first_transaction,2025-12-21 00:00:00,,,Android
EVT000178,M0166,plan_upgraded,2024-12-25 00:00:00,,,iOS
EVT000179,M0136,dashboard_viewed,2025-03-05 00:00:00,,462,Web
EVT000180,M0146,feature_used,2024-06-25 00:00:00,Invoicing,,Web
EVT000181,M0072,dashboard_viewed,2023-04-11 00:00:00,,397,Android
EVT000182,M0005,payout_requested,2025-02-22 00:00:00,,,iOS
EVT000183,M0193,dashboard_viewed,2025-05-04 00:00:00,,187,Android
EVT000184,M0042,feature_used,2025-10-09 00:00:00,Inventory,,Web
EVT000185,M0139,app_login,2025-04-21 00:00:00,,1544,iOS
EVT000186,M0177,support_ticket,2025-08-14 00:00:00,,,Web
EVT000187,M0089,terminal_activated,2025-08-24 00:00:00,,,iOS
EVT000188,M0020,app_login,2025-12-03 00:00:00,,1287,Web
EVT000189,M0102,payout_requested,2025-03-08 00:00:00,,,iOS
EVT000190,M0163,app_login,2024-12-03 00:00:00,,1034,iOS
EVT000191,M0092,feature_used,2024-09-07 00:00:00,Inventory,,iOS
EVT000192,M0175,feature_used,2024-11-06 00:00:00,Invoicing,,Web
EVT000193,M0076,plan_upgraded,2025-10-27 00:00:00,,,iOS
EVT000194,M0022,app_login,2025-06-14 00:00:00,,1487,Web
EVT000195,M0040,support_ticket,2025-01-21 00:00:00,,,Android
EVT000196,M0028,terminal_activated,2024-12-12 00:00:00,,,Android
EVT000197,M0093,plan_upgraded,2023-09-10 00:00:00,,,iOS
EVT000198,M0023,first_transaction,2025-09-28 00:00:00,,,Web
EVT000199,M0143,feature_used,2024-01-09 00:00:00,Invoicing,,iOS
EVT000200,M0091,feature_used,2025-08-23 00:00:00,Inventory,,iOS
EVT000201,M0075,app_login,2026-02-01 00:00:00,,203,Web
EVT000202,M0144,dashboard_viewed,2024-08-03 00:00:00,,1201,Web
EVT000203,M0044,support_ticket,2024-01-26 00:00:00,,,iOS
EVT000204,M0069,app_login,2025-06-03 00:00:00,,328,iOS
EVT000205,M0043,app_login,2024-10-29 00:00:00,,643,Android
EVT000206,M0020,app_login,2026-03-03 00:00:00,,535,Web
EVT000207,M0161,feature_used,2025-02-25 00:00:00,Analytics,,Android
EVT000208,M0028,first_transaction,2023-04-04 00:00:00,,,Android
EVT000209,M0086,dashboard_viewed,2025-06-02 00:00:00,,1676,Android
EVT000210,M0113,app_login,2025-02-22 00:00:00,,645,Android
EVT000211,M0155,payout_requested,2024-05-30 00:00:00,,,Android
EVT000212,M0081,first_transaction,2024-08-16 00:00:00,,,Android
EVT000213,M0075,support_ticket,2025-09-05 00:00:00,,,Android
EVT000214,M0148,plan_upgraded,2024-09-07 00:00:00,,,Android
EVT000215,M0072,dashboard_viewed,2025-04-17 00:00:00,,777,iOS
EVT000216,M0145,first_transaction,2025-08-05 00:00:00,,,iOS
EVT000217,M0175,plan_upgraded,2023-11-10 00:00:00,,,Web
EVT000218,M0119,payout_requested,2023-11-13 00:00:00,,,Android
EVT000219,M0075,dashboard_viewed,2024-02-05 00:00:00,,1707,Android
EVT000220,M0173,feature_used,2025-02-13 00:00:00,Team Management,,iOS
EVT000221,M0065,support_ticket,2025-07-19 00:00:00,,,Android
EVT000222,M0097,terminal_activated,2025-10-30 00:00:00,,,Web
EVT000223,M0103,feature_used,2025-09-13 00:00:00,Inventory,,Web
EVT000224,M0010,plan_upgraded,2024-11-08 00:00:00,,,Web
EVT000225,M0138,feature_used,2024-01-10 00:00:00,Invoicing,,iOS
EVT000226,M0169,support_ticket,2025-03-01 00:00:00,,,Web
EVT000227,M0157,terminal_activated,2025-07-19 00:00:00,,,Android
EVT000228,M0111,first_transaction,2024-03-02 00:00:00,,,Android
EVT000229,M0057,feature_used,2025-08-04 00:00:00,Online Store,,Web
EVT000230,M0177,feature_used,2025-07-17 00:00:00,Team Management,,Android
EVT000231,M0119,plan_upgraded,2024-12-05 00:00:00,,,Web
EVT000232,M0129,first_transaction,2024-10-18 00:00:00,,,Android
EVT000233,M0027,app_login,2024-01-27 00:00:00,,267,Web
EVT000234,M0037,app_login,2025-04-09 00:00:00,,962,iOS
EVT000235,M0134,feature_used,2025-10-15 00:00:00,Invoicing,,Android
EVT000236,M0185,support_ticket,2024-05-02 00:00:00,,,iOS
EVT000237,M0077,terminal_activated,2024-03-23 00:00:00,,,iOS
EVT000238,M0088,feature_used,2025-11-01 00:00:00,Analytics,,Web
EVT000239,M0063,feature_used,2025-08-27 00:00:00,Analytics,,Android
EVT000240,M0144,app_login,2025-03-16 00:00:00,,504,Android
EVT000241,M0162,first_transaction,2025-12-29 00:00:00,,,Web
EVT000242,M0111,app_login,2025-08-12 00:00:00,,434,Android
EVT000243,M0152,app_login,2024-10-07 00:00:00,,1473,iOS
EVT000244,M0053,app_login,2025-04-13 00:00:00,,1686,iOS
EVT000245,M0148,first_transaction,2025-04-11 00:00:00,,,iOS
EVT000246,M0094,app_login,2025-09-09 00:00:00,,263,Android
EVT000247,M0172,dashboard_viewed,2024-12-21 00:00:00,,1338,Android
EVT000248,M0153,app_login,2024-11-16 00:00:00,,1232,iOS
EVT000249,M0090,app_login,2025-01-04 00:00:00,,1294,iOS
EVT000250,M0173,support_ticket,2024-03-06 00:00:00,,,Web
EVT000251,M0152,terminal_activated,2024-12-12 00:00:00,,,Android
EVT000252,M0031,app_login,2024-07-02 00:00:00,,404,Android
EVT000253,M0178,first_transaction,2025-06-04 00:00:00,,,Android
EVT000254,M0153,first_transaction,2024-11-07 00:00:00,,,Android
EVT000255,M0048,feature_used,2025-07-01 00:00:00,,,Web
EVT000256,M0045,feature_used,2025-04-16 00:00:00,Team Management,,iOS
EVT000257,M0048,app_login,2025-05-17 00:00:00,,1298,iOS
EVT000258,M0092,payout_requested,2024-12-28 00:00:00,,,iOS
EVT000259,M0050,dashboard_viewed,2025-10-10 00:00:00,,1065,Web
EVT000260,M0127,app_login,2024-10-06 00:00:00,,881,Web
EVT000261,M0114,feature_used,2024-12-13 00:00:00,Online Store,,iOS
EVT000262,M0195,app_login,2024-08-01 00:00:00,,592,iOS
EVT000263,M0138,app_login,2025-12-22 00:00:00,,966,Web
EVT000264,M0191,plan_upgraded,2026-02-17 00:00:00,,,Web
EVT000265,M0131,first_transaction,2024-07-28 00:00:00,,,Android
EVT000266,M0199,feature_used,2025-04-02 00:00:00,Online Store,,iOS
EVT000267,M0195,support_ticket,2025-04-21 00:00:00,,,iOS
EVT000268,M0109,first_transaction,2025-03-12 00:00:00,,,Android
EVT000269,M0009,app_login,2025-06-18 00:00:00,,1795,iOS
EVT000270,M0113,dashboard_viewed,2025-02-03 00:00:00,,1618,iOS
EVT000271,M0054,dashboard_viewed,2025-09-25 00:00:00,,1793,Web
EVT000272,M0157,feature_used,2024-11-21 00:00:00,Online Store,,iOS
EVT000273,M0053,dashboard_viewed,2025-07-26 00:00:00,,151,Web
EVT000274,M0090,feature_used,2025-05-27 00:00:00,Online Store,,iOS
EVT000275,M0083,payout_requested,2024-03-21 00:00:00,,,Android
EVT000276,M0147,app_login,2024-12-24 00:00:00,,307,Android
EVT000277,M0016,payout_requested,2025-05-02 00:00:00,,,iOS
EVT000278,M0180,dashboard_viewed,2025-04-09 00:00:00,,329,Web
EVT000279,M0083,dashboard_viewed,2025-07-14 00:00:00,,1757,Web
EVT000280,M0101,feature_used,2024-10-15 00:00:00,,,Android
EVT000281,M0161,app_login,2024-09-09 00:00:00,,184,Web
EVT000282,M0197,terminal_activated,2025-08-17 00:00:00,,,Web
EVT000283,M0072,support_ticket,2025-02-27 00:00:00,,,Android
EVT000284,M0125,app_login,2024-06-09 00:00:00,,1615,Web
EVT000285,M0024,support_ticket,2025-08-17 00:00:00,,,Web
EVT000286,M0171,support_ticket,2025-08-04 00:00:00,,,iOS
EVT000287,M0137,app_login,2024-09-22 00:00:00,,1719,iOS
EVT000288,M0127,app_login,2024-03-07 00:00:00,,721,Web
EVT000289,M0148,first_transaction,2026-02-28 00:00:00,,,Android
EVT000290,M0088,dashboard_viewed,2025-12-15 00:00:00,,129,iOS
EVT000291,M0026,feature_used,2025-12-17 00:00:00,Invoicing,,iOS
EVT000292,M0041,app_login,2023-02-17 00:00:00,,906,iOS
EVT000293,M0177,dashboard_viewed,2026-02-25 00:00:00,,1361,Android
EVT000294,M0041,dashboard_viewed,2024-08-30 00:00:00,,221,Web
EVT000295,M0093,app_login,2024-06-12 00:00:00,,1390,Web
EVT000296,M0043,terminal_activated,2025-05-26 00:00:00,,,Android
EVT000297,M0186,support_ticket,2024-08-06 00:00:00,,,Android
EVT000298,M0168,terminal_activated,2024-01-24 00:00:00,,,iOS
EVT000299,M0055,feature_used,2023-10-03 00:00:00,Online Store,,iOS
EVT000300,M0133,support_ticket,2023-06-20 00:00:00,,,iOS
EVT000301,M0179,app_login,2025-01-12 00:00:00,,1791,Android
EVT000302,M0178,first_transaction,2024-07-14 00:00:00,,,iOS
EVT000303,M0099,terminal_activated,2024-03-21 00:00:00,,,iOS
EVT000304,M0081,app_login,2024-05-07 00:00:00,,310,Android
EVT000305,M0199,dashboard_viewed,2024-08-06 00:00:00,,1343,Web
EVT000306,M0037,terminal_activated,2025-07-31 00:00:00,,,iOS
EVT000307,M0157,support_ticket,2025-08-29 00:00:00,,,Android
EVT000308,M0185,app_login,2025-07-16 00:00:00,,340,Android
EVT000309,M0158,support_ticket,2024-11-18 00:00:00,,,iOS
EVT000310,M0026,first_transaction,2025-01-07 00:00:00,,,Web
EVT000311,M0187,app_login,2025-06-13 00:00:00,,674,iOS
EVT000312,M0064,app_login,2024-11-10 00:00:00,,538,Web
EVT000313,M0154,feature_used,2025-01-06 00:00:00,Team Management,,Web
EVT000314,M0007,dashboard_viewed,2025-07-10 00:00:00,,450,Web
EVT000315,M0156,feature_used,2025-04-30 00:00:00,Team Management,,Web
EVT000316,M0014,plan_upgraded,2025-02-28 00:00:00,,,Android
EVT000317,M0099,first_transaction,2025-05-02 00:00:00,,,Web
EVT000318,M0153,terminal_activated,2023-10-24 00:00:00,,,Android
EVT000319,M0082,first_transaction,2025-07-24 00:00:00,,,Android
EVT000320,M0140,support_ticket,2025-05-23 00:00:00,,,iOS
EVT000321,M0005,feature_used,2023-07-16 00:00:00,Team Management,,iOS
EVT000322,M0011,payout_requested,2026-02-18 00:00:00,,,Android
EVT000323,M0130,app_login,2025-10-25 00:00:00,,1601,Android
EVT000324,M0109,support_ticket,2024-09-24 00:00:00,,,Web
EVT000325,M0138,feature_used,2024-03-19 00:00:00,Team Management,,iOS
EVT000326,M0080,terminal_activated,2024-12-21 00:00:00,,,iOS
EVT000327,M0138,app_login,2025-06-06 00:00:00,,1329,Web
EVT000328,M0175,feature_used,2024-08-26 00:00:00,,,Android
EVT000329,M0187,payout_requested,2024-11-30 00:00:00,,,iOS
EVT000330,M0063,terminal_activated,2025-04-28 00:00:00,,,iOS
EVT000331,M0117,feature_used,2023-08-30 00:00:00,Team Management,,Web
EVT000332,M0190,support_ticket,2025-03-25 00:00:00,,,iOS
EVT000333,M0004,support_ticket,2024-09-15 00:00:00,,,iOS
EVT000334,M0128,payout_requested,2026-02-04 00:00:00,,,Web
EVT000335,M0185,app_login,2024-06-25 00:00:00,,289,Web
EVT000336,M0200,dashboard_viewed,2023-10-06 00:00:00,,1609,iOS
EVT000337,M0086,dashboard_viewed,2024-10-24 00:00:00,,1102,iOS
EVT000338,M0068,support_ticket,2025-08-03 00:00:00,,,Web
EVT000339,M0020,feature_used,2025-07-24 00:00:00,Team Management,,iOS
EVT000340,M0128,dashboard_viewed,2024-02-05 00:00:00,,783,iOS
EVT000341,M0066,plan_upgraded,2025-08-13 00:00:00,,,Web
EVT000342,M0186,first_transaction,2026-01-07 00:00:00,,,Web
EVT000343,M0001,terminal_activated,2023-02-05 00:00:00,,,iOS
EVT000344,M0012,feature_used,2025-06-05 00:00:00,Analytics,,iOS
EVT000345,M0010,feature_used,2025-11-06 00:00:00,,,Web
EVT000346,M0108,app_login,2024-01-22 00:00:00,,882,Web
EVT000347,M0082,app_login,2023-08-22 00:00:00,,1200,Android
EVT000348,M0031,feature_used,2024-04-27 00:00:00,Analytics,,iOS
EVT000349,M0133,payout_requested,2026-02-11 00:00:00,,,Android
EVT000350,M0018,dashboard_viewed,2025-06-07 00:00:00,,1614,Android
EVT000351,M0084,terminal_activated,2025-07-02 00:00:00,,,iOS
EVT000352,M0095,app_login,2024-10-09 00:00:00,,1544,Web
EVT000353,M0063,feature_used,2025-10-06 00:00:00,Inventory,,iOS
EVT000354,M0188,dashboard_viewed,2025-08-28 00:00:00,,1660,iOS
EVT000355,M0039,terminal_activated,2024-08-28 00:00:00,,,iOS
EVT000356,M0060,feature_used,2024-06-21 00:00:00,Team Management,,iOS
EVT000357,M0195,support_ticket,2025-09-23 00:00:00,,,Web
EVT000358,M0187,app_login,2024-10-27 00:00:00,,1115,iOS
EVT000359,M0108,feature_used,2023-07-13 00:00:00,Analytics,,Web
EVT000360,M0072,terminal_activated,2024-05-22 00:00:00,,,Web
EVT000361,M0106,support_ticket,2025-06-05 00:00:00,,,Android
EVT000362,M0192,terminal_activated,2024-12-22 00:00:00,,,Web
EVT000363,M0035,feature_used,2024-09-28 00:00:00,Invoicing,,Web
EVT000364,M0146,terminal_activated,2024-09-19 00:00:00,,,iOS
EVT000365,M0075,app_login,2024-10-14 00:00:00,,1670,Android
EVT000366,M0180,dashboard_viewed,2025-06-27 00:00:00,,681,Android
EVT000367,M0070,app_login,2024-07-18 00:00:00,,308,Web
EVT000368,M0028,first_transaction,2024-02-21 00:00:00,,,Android
EVT000369,M0120,app_login,2024-12-25 00:00:00,,1127,Android
EVT000370,M0198,app_login,2025-08-05 00:00:00,,978,Android
EVT000371,M0031,terminal_activated,2025-01-10 00:00:00,,,Web
EVT000372,M0179,feature_used,2025-03-02 00:00:00,Team Management,,iOS
EVT000373,M0024,support_ticket,2025-05-04 00:00:00,,,Android
EVT000374,M0132,terminal_activated,2025-01-01 00:00:00,,,Android
EVT000375,M0045,terminal_activated,2025-01-19 00:00:00,,,Android
EVT000376,M0143,support_ticket,2024-06-07 00:00:00,,,iOS
EVT000377,M0119,first_transaction,2025-07-03 00:00:00,,,iOS
EVT000378,M0032,terminal_activated,2024-05-07 00:00:00,,,iOS
EVT000379,M0051,dashboard_viewed,2024-07-12 00:00:00,,1435,Web
EVT000380,M0166,terminal_activated,2025-01-15 00:00:00,,,Android
EVT000381,M0020,terminal_activated,2024-12-08 00:00:00,,,iOS
EVT000382,M0166,app_login,2023-10-04 00:00:00,,218,Android
EVT000383,M0032,terminal_activated,2025-09-08 00:00:00,,,iOS
EVT000384,M0044,payout_requested,2024-10-22 00:00:00,,,Web
EVT000385,M0102,feature_used,2025-05-04 00:00:00,,,Android
EVT000386,M0045,app_login,2024-06-10 00:00:00,,593,Android
EVT000387,M0115,dashboard_viewed,2024-01-07 00:00:00,,1287,Web
EVT000388,M0158,app_login,2025-02-06 00:00:00,,1051,Android
EVT000389,M0141,feature_used,2023-10-06 00:00:00,Team Management,,Android
EVT000390,M0036,app_login,2025-11-20 00:00:00,,1662,Web
EVT000391,M0064,feature_used,2026-02-23 00:00:00,Invoicing,,Android
EVT000392,M0183,app_login,2025-05-20 00:00:00,,1630,Android
