merchant_id,month,total_transactions,completed_transactions,failed_transactions,chargeback_count,total_revenue,conversion_rate_pct
M0010,2024-10,2,2,0,0,3036.88,100.0
M0010,2024-11,1,1,0,0,153.2,100.0
M0010,2024-12,1,1,0,0,1254.52,100.0
M0010,2025-01,1,0,1,0,0.0,0.0
M0010,2025-02,1,1,0,0,802.74,100.0
M0010,2025-03,1,0,1,0,0.0,0.0
M0010,2025-04,1,1,0,0,1272.67,100.0
M0010,2025-05,3,3,0,0,2971.04,100.0
M0010,2025-07,1,1,0,0,1952.7,100.0
M0010,2025-08,1,1,0,0,1882.81,100.0
M0010,2025-09,2,2,0,0,3174.52,100.0
M0010,2025-10,1,0,1,0,0.0,0.0
M0010,2025-11,1,1,0,0,110.07,100.0
M0010,2026-02,2,2,0,0,1742.76,100.0
M0011,2024-12,3,3,0,0,4705.25,100.0
M0011,2025-01,3,1,1,1,1945.34,33.33
M0011,2025-02,2,2,0,0,2460.8,100.0
M0011,2025-03,2,2,0,0,1949.38,100.0
M0011,2025-05,1,1,0,0,520.62,100.0
M0011,2025-06,1,0,1,0,0.0,0.0
M0011,2025-07,3,3,0,0,4493.38,100.0
M0011,2025-08,1,1,0,0,979.61,100.0
M0011,2025-09,3,3,0,0,5701.1,100.0
M0011,2025-10,2,2,0,0,2330.94,100.0
M0011,2025-12,2,2,0,0,1527.27,100.0
M0011,2026-01,2,2,0,0,2725.35,100.0
M0011,2026-02,1,1,0,0,1332.33,100.0
M0011,2026-03,1,0,0,0,0.0,0.0
M0012,2025-01,4,3,0,1,3328.04,75.0
M0012,2025-02,1,0,0,0,0.0,0.0
M0012,2025-03,3,3,0,0,3994.13,100.0
M0012,2025-04,3,3,0,0,3321.89,100.0
M0012,2025-05,5,4,0,0,4617.26,80.0
M0012,2025-06,1,1,0,0,307.45,100.0
M0012,2025-07,4,3,0,0,5931.33,75.0
M0012,2025-09,1,1,0,0,1756.59,100.0
M0012,2025-10,1,0,1,0,0.0,0.0
M0012,2025-12,2,2,0,0,2721.69,100.0
M0012,2026-01,2,1,1,0,2173.14,50.0
M0012,2026-02,2,2,0,0,1937.45,100.0
M0013,2023-07,1,1,0,0,1600.68,100.0
M0013,2023-11,2,2,0,0,2794.4,100.0
M0013,2024-01,1,1,0,0,24.73,100.0
M0013,2024-02,1,1,0,0,2289.42,100.0
M0013,2024-03,1,1,0,0,1139.99,100.0
M0013,2024-05,2,2,0,0,2058.23,100.0
M0013,2024-09,1,0,1,0,0.0,0.0
M0013,2024-10,2,2,0,0,2482.64,100.0
M0013,2024-12,1,1,0,0,648.08,100.0
M0013,2025-02,1,1,0,0,1458.33,100.0
M0013,2025-03,1,1,0,0,890.58,100.0
M0013,2025-04,4,4,0,0,5042.12,100.0
M0013,2025-06,2,1,0,0,1422.73,50.0
M0013,2025-07,3,2,1,0,1765.07,66.67
M0013,2025-08,3,3,0,0,4229.89,100.0
M0013,2025-09,1,1,0,0,1326.17,100.0
M0014,2024-12,3,3,0,0,1194.76,100.0
M0014,2025-01,4,3,1,0,4924.6,75.0
M0014,2025-02,2,1,1,0,2391.28,50.0
M0014,2025-03,2,2,0,0,1437.79,100.0
M0014,2025-04,2,2,0,0,3007.23,100.0
M0014,2025-05,4,3,0,0,2490.05,75.0
M0014,2025-06,4,4,0,0,2361.37,100.0
M0014,2025-07,5,4,0,0,6237.73,80.0
M0014,2025-09,3,2,0,1,589.06,66.67
M0015,2024-03,1,1,0,0,596.36,100.0
M0015,2024-04,1,1,0,0,938.31,100.0
M0015,2024-05,2,2,0,0,1048.42,100.0
M0015,2024-07,4,4,0,0,6895.56,100.0
M0015,2024-08,1,1,0,0,1236.71,100.0
M0015,2024-10,2,2,0,0,615.9,100.0
M0015,2024-12,1,1,0,0,1232.57,100.0
M0015,2025-01,2,2,0,0,2960.84,100.0
M0015,2025-02,3,3,0,0,4167.75,100.0
M0015,2025-03,1,0,1,0,0.0,0.0
M0015,2025-06,1,1,0,0,320.95,100.0
M0015,2025-07,1,1,0,0,458.43,100.0
M0015,2025-08,1,1,0,0,274.52,100.0
M0015,2025-11,2,1,0,0,511.88,50.0
M0015,2026-01,2,1,0,0,1810.43,50.0
M0015,2026-02,1,1,0,0,1798.45,100.0
M0015,2026-03,2,2,0,0,2463.49,100.0
M0016,2023-08,1,1,0,0,55.65,100.0
M0016,2023-10,1,0,1,0,0.0,0.0
M0016,2023-11,1,0,1,0,0.0,0.0
M0016,2023-12,1,0,0,1,0.0,0.0
M0016,2024-01,1,1,0,0,239.74,100.0
M0016,2024-02,1,1,0,0,514.02,100.0
M0016,2024-03,2,2,0,0,2500.73,100.0
M0016,2024-04,2,2,0,0,2994.1,100.0
M0016,2024-06,1,1,0,0,1750.24,100.0
M0016,2024-08,2,2,0,0,3187.99,100.0
M0016,2024-09,1,1,0,0,1966.95,100.0
M0016,2024-11,1,1,0,0,2367.9,100.0
M0016,2025-01,2,2,0,0,931.0,100.0
M0016,2025-02,1,1,0,0,905.79,100.0
M0016,2025-03,2,2,0,0,1503.52,100.0
M0016,2025-06,3,2,0,0,2059.79,66.67
M0016,2025-09,2,1,1,0,125.49,50.0
M0017,2023-08,1,1,0,0,195.06,100.0
M0017,2024-02,1,1,0,0,2204.99,100.0
M0017,2024-03,1,1,0,0,2440.11,100.0
M0017,2024-04,3,3,0,0,3277.66,100.0
M0017,2024-06,1,1,0,0,1791.17,100.0
M0017,2024-08,1,0,0,0,0.0,0.0
M0017,2024-10,1,1,0,0,1339.83,100.0
M0017,2024-12,1,1,0,0,907.86,100.0
M0017,2025-01,2,1,1,0,1853.97,50.0
M0017,2025-02,1,0,1,0,0.0,0.0
M0017,2025-05,3,3,0,0,3581.46,100.0
M0017,2025-06,2,1,0,0,1504.35,50.0
M0017,2025-07,1,1,0,0,523.09,100.0
M0017,2025-08,4,4,0,0,6272.44,100.0
M0017,2025-10,1,1,0,0,1157.17,100.0
M0017,2025-12,1,1,0,0,1308.36,100.0
M0017,2026-02,1,1,0,0,2172.38,100.0
M0018,2024-08,1,1,0,0,462.97,100.0
M0018,2024-09,1,1,0,0,920.76,100.0
M0018,2024-10,1,1,0,0,462.58,100.0
M0018,2024-11,2,1,0,0,1062.19,50.0
M0018,2024-12,2,1,0,0,1414.61,50.0
M0018,2025-01,1,1,0,0,1897.03,100.0
M0018,2025-03,1,1,0,0,2288.13,100.0
M0018,2025-04,3,1,1,0,285.99,33.33
M0018,2025-05,3,2,1,0,3117.61,66.67
M0018,2025-06,1,1,0,0,1356.55,100.0
M0018,2025-07,3,2,0,0,3351.19,66.67
M0018,2025-08,5,3,1,0,2794.62,60.0
M0018,2025-09,1,1,0,0,2442.01,100.0
M0018,2025-10,1,1,0,0,2046.52,100.0
M0018,2025-11,2,1,0,1,476.48,50.0
M0018,2026-02,1,1,0,0,1500.05,100.0
M0018,2026-03,1,1,0,0,1815.48,100.0
M0019,2024-07,1,1,0,0,1202.1,100.0
M0019,2024-08,2,2,0,0,1779.58,100.0
M0019,2024-11,3,2,1,0,1137.29,66.67
M0019,2024-12,1,1,0,0,1847.45,100.0
M0019,2025-04,3,3,0,0,3601.5,100.0
M0019,2025-05,1,1,0,0,1565.5,100.0
M0019,2025-06,2,2,0,0,404.27,100.0
M0019,2025-07,2,1,0,0,1072.85,50.0
M0019,2025-09,2,2,0,0,271.86,100.0
M0019,2025-10,2,2,0,0,1997.24,100.0
M0019,2025-11,2,2,0,0,3970.23,100.0
M0019,2025-12,2,2,0,0,2587.93,100.0
M0019,2026-02,1,1,0,0,671.04,100.0
M0019,2026-03,4,3,0,1,3315.99,75.0
M0020,2024-11,1,0,1,0,0.0,0.0
M0020,2024-12,1,1,0,0,40.03,100.0
M0020,2025-01,3,3,0,0,2549.05,100.0
M0020,2025-02,2,2,0,0,3309.9,100.0
M0020,2025-03,1,1,0,0,2258.78,100.0
M0020,2025-04,2,1,0,1,1243.69,50.0
M0020,2025-05,2,2,0,0,2755.61,100.0
M0020,2025-06,2,1,1,0,216.53,50.0
M0020,2025-07,2,1,1,0,272.35,50.0
M0020,2025-08,2,1,0,1,1669.55,50.0
M0020,2025-10,5,5,0,0,4584.7,100.0
M0020,2025-11,3,2,0,1,2010.99,66.67
M0020,2025-12,2,1,0,0,1485.42,50.0
M0020,2026-02,3,3,0,0,5616.43,100.0
M0020,2026-03,2,2,0,0,1710.03,100.0
M0021,2024-03,1,0,0,1,0.0,0.0
M0021,2024-04,1,1,0,0,1678.02,100.0
M0021,2024-06,1,1,0,0,675.2,100.0
M0021,2024-07,4,3,0,0,3662.16,75.0
M0021,2024-11,1,1,0,0,1324.12,100.0
M0021,2025-01,2,1,1,0,1593.7,50.0
M0021,2025-02,1,0,0,0,0.0,0.0
M0021,2025-03,2,2,0,0,3516.51,100.0
M0021,2025-04,5,4,0,0,4337.44,80.0
M0021,2025-05,3,2,0,0,3085.23,66.67
M0021,2025-06,2,2,0,0,396.65,100.0
M0021,2025-09,1,1,0,0,468.0,100.0
M0021,2025-10,3,3,0,0,2974.64,100.0
M0021,2025-11,1,1,0,0,2010.5,100.0
M0021,2026-02,2,2,0,0,855.48,100.0
M0022,2024-12,3,2,1,0,4440.39,66.67
M0022,2025-01,3,2,0,1,1708.48,66.67
M0022,2025-02,2,2,0,0,1595.06,100.0
M0022,2025-03,3,2,1,0,1084.38,66.67
M0022,2025-04,1,1,0,0,2309.51,100.0
M0022,2025-05,2,1,0,0,1823.66,50.0
M0022,2025-06,3,2,0,1,331.15,66.67
M0022,2025-07,2,1,0,1,123.45,50.0
M0022,2025-08,2,2,0,0,3388.28,100.0
M0022,2025-11,2,1,1,0,831.96,50.0
M0022,2025-12,2,2,0,0,2735.51,100.0
M0022,2026-01,3,2,0,0,1397.6,66.67
M0022,2026-02,1,1,0,0,299.95,100.0
M0022,2026-03,2,2,0,0,2892.27,100.0
M0023,2023-04,1,1,0,0,824.36,100.0
M0023,2023-05,1,1,0,0,994.27,100.0
M0023,2023-06,1,1,0,0,955.77,100.0
M0023,2023-07,1,1,0,0,1941.09,100.0
M0023,2023-08,1,1,0,0,1067.8,100.0
M0023,2023-09,1,1,0,0,1158.64,100.0
M0023,2023-10,1,0,0,1,0.0,0.0
M0023,2023-12,3,2,0,0,2999.14,66.67
M0023,2024-01,1,0,0,1,0.0,0.0
M0023,2024-03,1,1,0,0,1025.16,100.0
M0023,2024-05,1,1,0,0,2205.36,100.0
M0023,2024-06,1,1,0,0,2320.45,100.0
M0023,2024-07,2,2,0,0,1090.57,100.0
M0023,2024-10,2,2,0,0,2892.19,100.0
M0023,2024-11,2,1,0,0,1843.97,50.0
M0023,2025-02,2,1,1,0,94.68,50.0
M0023,2025-03,1,0,0,1,0.0,0.0
M0023,2025-04,1,1,0,0,1467.19,100.0
M0023,2025-05,1,1,0,0,677.44,100.0
M0023,2025-06,1,0,0,0,0.0,0.0
M0023,2025-08,1,1,0,0,391.04,100.0
M0023,2025-09,2,1,0,0,1050.6,50.0
M0023,2025-11,2,2,0,0,1133.47,100.0
M0023,2026-01,1,1,0,0,1486.45,100.0
M0023,2026-02,1,1,0,0,2271.76,100.0
M0023,2026-03,1,0,0,0,0.0,0.0
M0024,2024-06,2,1,1,0,1418.76,50.0
M0024,2024-08,1,0,0,0,0.0,0.0
M0024,2024-09,1,1,0,0,1558.34,100.0
M0024,2024-10,1,0,0,0,0.0,0.0
M0024,2024-11,1,1,0,0,1421.49,100.0
M0024,2024-12,1,1,0,0,494.71,100.0
M0024,2025-01,3,3,0,0,4401.8,100.0
M0024,2025-02,4,3,0,0,5254.64,75.0
M0024,2025-03,2,2,0,0,861.41,100.0
M0024,2025-05,2,2,0,0,4081.18,100.0
M0024,2025-06,1,1,0,0,1075.57,100.0
M0024,2025-07,1,1,0,0,1319.09,100.0
M0024,2025-09,2,2,0,0,2486.43,100.0
M0024,2025-10,2,1,0,0,1271.06,50.0
M0024,2025-11,4,2,0,0,2858.6,50.0
M0024,2025-12,1,1,0,0,930.71,100.0
M0024,2026-02,1,1,0,0,1123.33,100.0
M0024,2026-03,1,1,0,0,760.1,100.0
M0025,2024-10,1,1,0,0,1298.12,100.0
M0025,2024-11,3,3,0,0,4549.6,100.0
M0025,2024-12,6,6,0,0,9737.84,100.0
M0025,2025-01,2,2,0,0,2573.83,100.0
M0025,2025-02,1,1,0,0,891.78,100.0
M0025,2025-03,2,2,0,0,2493.38,100.0
M0025,2025-04,4,4,0,0,6071.56,100.0
M0025,2025-05,1,1,0,0,1298.88,100.0
M0025,2025-06,3,3,0,0,3910.19,100.0
M0025,2025-08,2,2,0,0,2106.15,100.0
M0025,2025-11,1,0,0,0,0.0,0.0
M0025,2025-12,4,4,0,0,6104.89,100.0
M0025,2026-01,1,1,0,0,2294.43,100.0
M0025,2026-02,1,1,0,0,378.57,100.0
M0025,2026-03,2,2,0,0,2387.47,100.0
M0026,2024-10,5,2,2,0,3128.7,40.0
M0026,2024-11,1,0,0,0,0.0,0.0
M0026,2024-12,2,1,0,0,678.91,50.0
M0026,2025-01,3,3,0,0,3020.21,100.0
M0026,2025-02,4,3,0,1,4340.1,75.0
M0026,2025-03,1,1,0,0,87.29,100.0
M0026,2025-05,2,2,0,0,3099.25,100.0
M0026,2025-06,1,1,0,0,1000.84,100.0
M0026,2025-08,3,2,0,0,3670.8,66.67
M0026,2025-09,3,3,0,0,6524.8,100.0
M0026,2025-10,2,2,0,0,2848.71,100.0
M0026,2025-11,1,1,0,0,1161.64,100.0
M0026,2025-12,1,1,0,0,2283.09,100.0
M0026,2026-01,3,3,0,0,5185.46,100.0
M0026,2026-02,6,5,0,0,6461.36,83.33
M0026,2026-03,2,2,0,0,452.24,100.0
M0027,2023-11,3,2,1,0,1367.04,66.67
M0027,2024-02,3,2,0,0,2617.33,66.67
M0027,2024-03,1,1,0,0,256.59,100.0
M0027,2024-04,1,1,0,0,261.64,100.0
M0027,2024-05,1,0,0,0,0.0,0.0
M0027,2024-07,1,1,0,0,2448.35,100.0
M0027,2024-09,2,2,0,0,1211.35,100.0
M0027,2024-10,1,1,0,0,642.23,100.0
M0027,2024-12,2,2,0,0,3779.72,100.0
M0027,2025-01,2,2,0,0,1291.02,100.0
M0027,2025-02,1,1,0,0,2004.02,100.0
M0027,2025-04,2,2,0,0,3364.56,100.0
M0027,2025-07,2,2,0,0,3619.64,100.0
M0027,2025-08,1,1,0,0,2355.4,100.0
M0027,2025-09,1,1,0,0,1698.29,100.0
M0027,2025-10,2,2,0,0,3713.64,100.0
M0027,2025-11,1,1,0,0,440.03,100.0
M0027,2025-12,3,2,0,0,2706.41,66.67
M0027,2026-02,1,1,0,0,344.86,100.0
M0027,2026-03,1,1,0,0,1193.93,100.0
M0028,2023-05,2,2,0,0,4361.47,100.0
M0028,2023-06,3,3,0,0,2752.7,100.0
M0028,2023-08,2,0,0,0,0.0,0.0
M0028,2023-10,2,2,0,0,2564.07,100.0
M0028,2023-11,2,1,0,1,2046.69,50.0
M0028,2023-12,1,1,0,0,156.84,100.0
M0028,2024-03,1,1,0,0,1080.84,100.0
M0028,2024-04,1,1,0,0,950.4,100.0
M0028,2024-08,1,0,0,0,0.0,0.0
M0028,2024-09,2,2,0,0,1750.37,100.0
M0028,2024-10,2,2,0,0,2495.05,100.0
M0028,2024-11,1,1,0,0,976.61,100.0
M0028,2025-01,1,1,0,0,1740.81,100.0
M0028,2025-02,1,0,0,0,0.0,0.0
M0028,2025-04,1,1,0,0,109.72,100.0
M0028,2025-05,3,2,1,0,2162.8,66.67
M0028,2025-08,1,1,0,0,663.41,100.0
M0028,2025-09,2,1,0,0,1080.54,50.0
M0028,2025-10,3,3,0,0,2976.9,100.0
M0028,2025-12,1,0,0,0,0.0,0.0
M0028,2026-01,3,3,0,0,3534.53,100.0
M0028,2026-02,2,2,0,0,1081.54,100.0
M0028,2026-03,2,2,0,0,1706.87,100.0
M0029,2024-11,1,1,0,0,1671.15,100.0
M0029,2024-12,2,0,2,0,0.0,0.0
M0029,2025-01,1,1,0,0,2128.34,100.0
M0029,2025-02,1,1,0,0,2232.53,100.0
M0029,2025-03,2,2,0,0,2588.09,100.0
M0029,2025-04,1,1,0,0,1922.75,100.0
M0029,2025-07,2,1,1,0,965.08,50.0
M0029,2025-08,3,3,0,0,3328.99,100.0
M0029,2025-09,1,0,1,0,0.0,0.0
M0029,2025-10,2,2,0,0,1100.87,100.0
M0029,2025-11,2,1,0,0,2075.29,50.0
M0029,2025-12,2,2,0,0,4040.25,100.0
M0029,2026-01,6,4,0,0,6303.65,66.67
M0029,2026-02,1,1,0,0,398.55,100.0
M0030,2023-08,4,4,0,0,5480.31,100.0
M0030,2023-10,1,0,0,0,0.0,0.0
M0030,2023-11,1,0,0,0,0.0,0.0
M0030,2024-01,1,1,0,0,1980.13,100.0
M0030,2024-02,3,3,0,0,3750.89,100.0
M0030,2024-04,1,1,0,0,1552.63,100.0
M0030,2024-06,1,1,0,0,760.54,100.0
M0030,2024-09,2,1,1,0,1475.69,50.0
M0030,2024-10,1,1,0,0,562.13,100.0
M0030,2025-01,1,1,0,0,459.91,100.0
M0030,2025-03,1,0,1,0,0.0,0.0
M0030,2025-04,1,1,0,0,2430.02,100.0
M0030,2025-05,1,0,1,0,0.0,0.0
M0030,2025-06,1,1,0,0,592.22,100.0
M0030,2025-07,1,1,0,0,1665.71,100.0
M0030,2025-08,2,2,0,0,2582.54,100.0
M0030,2025-10,1,1,0,0,1628.71,100.0
M0030,2025-12,1,1,0,0,857.18,100.0
M0030,2026-02,2,2,0,0,1752.96,100.0
M0031,2024-04,1,1,0,0,2177.58,100.0
M0031,2024-06,1,1,0,0,786.41,100.0
M0031,2024-07,1,0,1,0,0.0,0.0
M0031,2024-08,3,1,0,0,1440.68,33.33
M0031,2024-09,1,1,0,0,1324.48,100.0
M0031,2024-12,3,2,0,0,2435.2,66.67
M0031,2025-01,2,2,0,0,1854.6,100.0
M0031,2025-03,1,1,0,0,900.67,100.0
M0031,2025-05,3,3,0,0,3302.46,100.0
M0031,2025-07,2,2,0,0,1851.29,100.0
M0031,2025-09,1,1,0,0,1693.63,100.0
M0032,2023-03,3,3,0,0,3505.1,100.0
M0032,2023-07,1,1,0,0,459.51,100.0
M0032,2023-08,1,1,0,0,999.68,100.0
M0032,2023-09,1,1,0,0,389.28,100.0
M0032,2023-10,1,1,0,0,426.12,100.0
M0032,2024-02,2,2,0,0,1803.57,100.0
M0032,2024-03,1,0,0,0,0.0,0.0
M0032,2024-04,2,2,0,0,3095.37,100.0
M0032,2024-05,1,0,0,1,0.0,0.0
M0032,2024-08,2,2,0,0,1972.19,100.0
M0032,2024-09,1,1,0,0,321.58,100.0
M0032,2025-01,1,1,0,0,346.01,100.0
M0032,2025-02,1,1,0,0,984.02,100.0
M0032,2025-03,2,2,0,0,1081.57,100.0
